 Which k-point you are on :            1
 ******************************* 
 ******************************* 
 start for in =               1
  Vcoulb n1   ig   ga  gb  gc      
     0.50873115       1     795       2      -6       5
     0.49281472       1     796       3      -6       5
     0.47348107       1     797       4      -6       5
     0.45206542       1     798       5      -6       5
     0.44467055       1     799      -6      -6       5
     0.46651204       1     800      -5      -6       5
     0.48668168       1     801      -4      -6       5
     0.50389059       1     802      -3      -6       5
     0.51677483       1     803      -2      -6       5
     0.52413517       1     804      -1      -6       5
     0.57892622       1     805       0      -5       5
     0.57463251       1     806       1      -5       5
     0.56230285       1     807       2      -5       5
     0.54340707       1     808       3      -5       5
     0.51989109       1     809       4      -5       5
     0.49370994       1     810       5      -5       5
     0.46651204       1     811      -6      -5       5
     0.49370994       1     812      -5      -5       5
     0.51989109       1     813      -4      -5       5
     0.54340707       1     814      -3      -5       5
     0.56230285       1     815      -2      -5       5
     0.57463251       1     816      -1      -5       5
     0.64127515       1     817       0      -4       5
     0.63931705       1     818       1      -4       5
     0.62609489       1     819       2      -4       5
     0.60357230       1     820       3      -4       5
     0.57463251       1     821       4      -4       5
     0.54221408       1     822       5      -4       5
     0.48668168       1     823      -6      -4       5
     0.51989109       1     824      -5      -4       5
     0.55324329       1     825      -4      -4       5
     0.58480379       1     826      -3      -4       5
     0.61194402       1     827      -2      -4       5
     0.63166029       1     828      -1      -4       5
     0.71260891       1     829       0      -3       5
     0.71532362       1     830       1      -3       5
     0.70205116       1     831       2      -3       5
     0.67527325       1     832       3      -3       5
     0.63931705       1     833       4      -3       5
     0.59871124       1     834       5      -3       5
     0.50389059       1     835      -6      -3       5
     0.54340707       1     836      -5      -3       5
     0.58480379       1     837      -4      -3       5
     0.62609489       1     838      -3      -3       5
     0.66407391       1     839      -2      -3       5
     0.69443374       1     840      -1      -3       5
     0.79149163       1     841       0      -2       5
     0.80282621       1     842       1      -2       5
     0.79149163       1     843       2      -2       5
     0.76016736       1     844       3      -2       5
     0.71532362       1     845       4      -2       5
     0.66407391       1     846       5      -2       5
     0.51677483       1     847      -6      -2       5
     0.56230285       1     848      -5      -2       5
     0.61194402       1     849      -4      -2       5
     0.66407391       1     850      -3      -2       5
     0.71532362       1     851      -2      -2       5
     0.76016736       1     852      -1      -2       5
     0.87276411       1     853       0      -1       5
     0.89866777       1     854       1      -1       5
     0.89330254       1     855       2      -1       5
     0.85825732       1     856       3      -1       5
     0.80282621       1     857       4      -1       5
     0.73821975       1     858       5      -1       5
     0.52413517       1     859      -6      -1       5
     0.57463251       1     860      -5      -1       5
     0.63166029       1     861      -4      -1       5
     0.69443374       1     862      -3      -1       5
     0.76016736       1     863      -2      -1       5
     0.82284989       1     864      -1      -1       5
     0.78781879       1     865       0       0      -6
     0.73821975       1     866       1       0      -6
     0.68227109       1     867       2       0      -6
     0.62609489       1     868       3       0      -6
     0.57322237       1     869       4       0      -6
     0.52521253       1     870       5       0      -6
     0.68227109       1     871      -6       0      -6
     0.73821975       1     872      -5       0      -6
     0.78781879       1     873      -4       0      -6
     0.82284989       1     874      -3       0      -6
     0.83560802       1     875      -2       0      -6
     0.82284989       1     876      -1       0      -6
     0.73821975       1     877       0       1      -6
     0.70205116       1     878       1       1      -6
     0.65761599       1     879       2       1      -6
     0.61024181       1     880       3       1      -6
     0.56363374       1     881       4       1      -6
     0.51989109       1     882       5       1      -6
     0.62609489       1     883      -6       1      -6
     0.67298806       1     884      -5       1      -6
     0.71532362       1     885      -4       1      -6
     0.74739053       1     886      -3       1      -6
     0.76346528       1     887      -2       1      -6
     0.76016736       1     888      -1       1      -6
     0.68227109       1     889       0       2      -6
     0.65761599       1     890       1       2      -6
     0.62427219       1     891       2       2      -6
     0.58630137       1     892       3       2      -6
     0.54703385       1     893       4       2      -6
     0.50873115       1     894       5       2      -6
     0.57322237       1     895      -6       2      -6
     0.61194402       1     896      -5       2      -6
     0.64725919       1     897      -4       2      -6
     0.67527325       1     898      -3       2      -6
     0.69194918       1     899      -2       2      -6
     0.69443374       1     900      -1       2      -6
     0.62609489       1     901       0       3      -6
     0.61024181       1     902       1       3      -6
     0.58630137       1     903       2       3      -6
     0.55707201       1     904       3       3      -6
     0.52521253       1     905       4       3      -6
     0.49281472       1     906       5       3      -6
     0.52521253       1     907      -6       3      -6
     0.55707201       1     908      -5       3      -6
     0.58630137       1     909      -4       3      -6
     0.61024181       1     910      -3       3      -6
     0.62609489       1     911      -2       3      -6
     0.63166029       1     912      -1       3      -6
     0.57322237       1     913       0       4      -6
     0.56363374       1     914       1       4      -6
     0.54703385       1     915       2       4      -6
     0.52521253       1     916       3       4      -6
     0.50011608       1     917       4       4      -6
     0.47348107       1     918       5       4      -6
     0.48243851       1     919      -6       4      -6
     0.50873115       1     920      -5       4      -6
     0.53294478       1     921      -4       4      -6
     0.55324329       1     922      -3       4      -6
     0.56768386       1     923      -2       4      -6
     0.57463251       1     924      -1       4      -6
     0.52521253       1     925       0       5      -6
     0.51989109       1     926       1       5      -6
     0.50873115       1     927       2       5      -6
     0.49281472       1     928       3       5      -6
     0.47348107       1     929       4       5      -6
     0.45206542       1     930       5       5      -6
     0.44467055       1     931      -6       5      -6
     0.46651204       1     932      -5       5      -6
     0.48668168       1     933      -4       5      -6
     0.50389059       1     934      -3       5      -6
     0.51677483       1     935      -2       5      -6
     0.52413517       1     936      -1       5      -6
     0.68227109       1     937       0      -6      -6
     0.62609489       1     938       1      -6      -6
     0.57322237       1     939       2      -6      -6
     0.52521253       1     940       3      -6      -6
     0.48243851       1     941       4      -6      -6
     0.44467055       1     942       5      -6      -6
     0.78781879       1     943      -6      -6      -6
     0.82284989       1     944      -5      -6      -6
     0.83560802       1     945      -4      -6      -6
     0.82284989       1     946      -3      -6      -6
     0.78781879       1     947      -2      -6      -6
     0.73821975       1     948      -1      -6      -6
     0.73821975       1     949       0      -5      -6
     0.67298806       1     950       1      -5      -6
     0.61194402       1     951       2      -5      -6
     0.55707201       1     952       3      -5      -6
     0.50873115       1     953       4      -5      -6
     0.46651204       1     954       5      -5      -6
     0.82284989       1     955      -6      -5      -6
     0.87276411       1     956      -5      -5      -6
     0.89866777       1     957      -4      -5      -6
     0.89330254       1     958      -3      -5      -6
     0.85825732       1     959      -2      -5      -6
     0.80282621       1     960      -1      -5      -6
     0.78781879       1     961       0      -4      -6
     0.71532362       1     962       1      -4      -6
     0.64725919       1     963       2      -4      -6
     0.58630137       1     964       3      -4      -6
     0.53294478       1     965       4      -4      -6
     0.48668168       1     966       5      -4      -6
     0.83560802       1     967      -6      -4      -6
     0.89866777       1     968      -5      -4      -6
     0.93914233       1     969      -4      -4      -6
     0.94538255       1     970      -3      -4      -6
     0.91536272       1     971      -2      -4      -6
     0.85825732       1     972      -1      -4      -6
     0.82284989       1     973       0      -3      -6
     0.74739053       1     974       1      -3      -6
     0.67527325       1     975       2      -3      -6
     0.61024181       1     976       3      -3      -6
     0.55324329       1     977       4      -3      -6
     0.50389059       1     978       5      -3      -6
     0.82284989       1     979      -6      -3      -6
     0.89330254       1     980      -5      -3      -6
     0.94538255       1     981      -4      -3      -6
     0.96487703       1     982      -3      -3      -6
     0.94538255       1     983      -2      -3      -6
     0.89330254       1     984      -1      -3      -6
     0.83560802       1     985       0      -2      -6
     0.76346528       1     986       1      -2      -6
     0.69194918       1     987       2      -2      -6
     0.62609489       1     988       3      -2      -6
     0.56768386       1     989       4      -2      -6
     0.51677483       1     990       5      -2      -6
     0.78781879       1     991      -6      -2      -6
     0.85825732       1     992      -5      -2      -6
     0.91536272       1     993      -4      -2      -6
     0.94538255       1     994      -3      -2      -6
     0.93914233       1     995      -2      -2      -6
     0.89866777       1     996      -1      -2      -6
     0.82284989       1     997       0      -1      -6
     0.76016736       1     998       1      -1      -6
     0.69443374       1     999       2      -1      -6
     0.63166029       1    1000       3      -1      -6
     0.57463251       1    1001       4      -1      -6
     0.52413517       1    1002       5      -1      -6
     0.73821975       1    1003      -6      -1      -6
     0.80282621       1    1004      -5      -1      -6
     0.85825732       1    1005      -4      -1      -6
     0.89330254       1    1006      -3      -1      -6
     0.89866777       1    1007      -2      -1      -6
     0.87276411       1    1008      -1      -1      -6
     0.94538255       1    1009       0       0      -5
     0.87276411       1    1010       1       0      -5
     0.79149163       1    1011       2       0      -5
     0.71260891       1    1012       3       0      -5
     0.64127515       1    1013       4       0      -5
     0.57892622       1    1014       5       0      -5
     0.73821975       1    1015      -6       0      -5
     0.81872531       1    1016      -5       0      -5
     0.89866777       1    1017      -4       0      -5
     0.96487703       1    1018      -3       0      -5
     1.00023216       1    1019      -2       0      -5
     0.99285027       1    1020      -1       0      -5
     0.87276411       1    1021       0       1      -5
     0.82284989       1    1022       1       1      -5
     0.76016736       1    1023       2       1      -5
     0.69443374       1    1024       3       1      -5
     0.63166029       1    1025       4       1      -5
     0.57463251       1    1026       5       1      -5
     0.67298806       1    1027      -6       1      -5
     0.73821975       1    1028      -5       1      -5
     0.80282621       1    1029      -4       1      -5
     0.85825732       1    1030      -3       1      -5
     0.89330254       1    1031      -2       1      -5
     0.89866777       1    1032      -1       1      -5
     0.79149163       1    1033       0       2      -5
     0.76016736       1    1034       1       2      -5
     0.71532362       1    1035       2       2      -5
     0.66407391       1    1036       3       2      -5
     0.61194402       1    1037       4       2      -5
     0.56230285       1    1038       5       2      -5
     0.61194402       1    1039      -6       2      -5
     0.66407391       1    1040      -5       2      -5
     0.71532362       1    1041      -4       2      -5
     0.76016736       1    1042      -3       2      -5
     0.79149163       1    1043      -2       2      -5
     0.80282621       1    1044      -1       2      -5
     0.71260891       1    1045       0       3      -5
     0.69443374       1    1046       1       3      -5
     0.66407391       1    1047       2       3      -5
     0.62609489       1    1048       3       3      -5
     0.58480379       1    1049       4       3      -5
     0.54340707       1    1050       5       3      -5
     0.55707201       1    1051      -6       3      -5
     0.59871124       1    1052      -5       3      -5
     0.63931705       1    1053      -4       3      -5
     0.67527325       1    1054      -3       3      -5
     0.70205116       1    1055      -2       3      -5
     0.71532362       1    1056      -1       3      -5
     0.64127515       1    1057       0       4      -5
     0.63166029       1    1058       1       4      -5
     0.61194402       1    1059       2       4      -5
     0.58480379       1    1060       3       4      -5
     0.55324329       1    1061       4       4      -5
     0.51989109       1    1062       5       4      -5
     0.50873115       1    1063      -6       4      -5
     0.54221408       1    1064      -5       4      -5
     0.57463251       1    1065      -4       4      -5
     0.60357230       1    1066      -3       4      -5
     0.62609489       1    1067      -2       4      -5
     0.63931705       1    1068      -1       4      -5
     0.57892622       1    1069       0       5      -5
     0.57463251       1    1070       1       5      -5
     0.56230285       1    1071       2       5      -5
     0.54340707       1    1072       3       5      -5
     0.51989109       1    1073       4       5      -5
     0.49370994       1    1074       5       5      -5
     0.46651204       1    1075      -6       5      -5
     0.49370994       1    1076      -5       5      -5
     0.51989109       1    1077      -4       5      -5
     0.54340707       1    1078      -3       5      -5
     0.56230285       1    1079      -2       5      -5
     0.57463251       1    1080      -1       5      -5
     0.73821975       1    1081       0      -6      -5
     0.67298806       1    1082       1      -6      -5
     0.61194402       1    1083       2      -6      -5
     0.55707201       1    1084       3      -6      -5
     0.50873115       1    1085       4      -6      -5
     0.46651204       1    1086       5      -6      -5
     0.82284989       1    1087      -6      -6      -5
     0.87276411       1    1088      -5      -6      -5
     0.89866777       1    1089      -4      -6      -5
     0.89330254       1    1090      -3      -6      -5
     0.85825732       1    1091      -2      -6      -5
     0.80282621       1    1092      -1      -6      -5
     0.81872531       1    1093       0      -5      -5
     0.73821975       1    1094       1      -5      -5
     0.66407391       1    1095       2      -5      -5
     0.59871124       1    1096       3      -5      -5
     0.54221408       1    1097       4      -5      -5
     0.49370994       1    1098       5      -5      -5
     0.87276411       1    1099      -6      -5      -5
     0.94538255       1    1100      -5      -5      -5
     0.99285027       1    1101      -4      -5      -5
     1.00023216       1    1102      -3      -5      -5
     0.96487703       1    1103      -2      -5      -5
     0.89866777       1    1104      -1      -5      -5
     0.89866777       1    1105       0      -4      -5
     0.80282621       1    1106       1      -4      -5
     0.71532362       1    1107       2      -4      -5
     0.63931705       1    1108       3      -4      -5
     0.57463251       1    1109       4      -4      -5
     0.51989109       1    1110       5      -4      -5
     0.89866777       1    1111      -6      -4      -5
     0.99285027       1    1112      -5      -4      -5
     1.06588956       1    1113      -4      -4      -5
     1.09406771       1    1114      -3      -4      -5
     1.06588956       1    1115      -2      -4      -5
     0.99285027       1    1116      -1      -4      -5
     0.96487703       1    1117       0      -3      -5
     0.85825732       1    1118       1      -3      -5
     0.76016736       1    1119       2      -3      -5
     0.67527325       1    1120       3      -3      -5
     0.60357230       1    1121       4      -3      -5
     0.54340707       1    1122       5      -3      -5
     0.89330254       1    1123      -6      -3      -5
     1.00023216       1    1124      -5      -3      -5
     1.09406771       1    1125      -4      -3      -5
     1.14644474       1    1126      -3      -3      -5
     1.13536772       1    1127      -2      -3      -5
     1.06588956       1    1128      -1      -3      -5
     1.00023216       1    1129       0      -2      -5
     0.89330254       1    1130       1      -2      -5
     0.79149163       1    1131       2      -2      -5
     0.70205116       1    1132       3      -2      -5
     0.62609489       1    1133       4      -2      -5
     0.56230285       1    1134       5      -2      -5
     0.85825732       1    1135      -6      -2      -5
     0.96487703       1    1136      -5      -2      -5
     1.06588956       1    1137      -4      -2      -5
     1.13536772       1    1138      -3      -2      -5
     1.14644474       1    1139      -2      -2      -5
     1.09406771       1    1140      -1      -2      -5
     0.99285027       1    1141       0      -1      -5
     0.89866777       1    1142       1      -1      -5
     0.80282621       1    1143       2      -1      -5
     0.71532362       1    1144       3      -1      -5
     0.63931705       1    1145       4      -1      -5
     0.57463251       1    1146       5      -1      -5
     0.80282621       1    1147      -6      -1      -5
     0.89866777       1    1148      -5      -1      -5
     0.99285027       1    1149      -4      -1      -5
     1.06588956       1    1150      -3      -1      -5
     1.09406771       1    1151      -2      -1      -5
     1.06588956       1    1152      -1      -1      -5
     1.18172819       1    1153       0       0      -4
     1.06588956       1    1154       1       0      -4
     0.93914233       1    1155       2       0      -4
     0.82284989       1    1156       3       0      -4
     0.72365777       1    1157       4       0      -4
     0.64127515       1    1158       5       0      -4
     0.78781879       1    1159      -6       0      -4
     0.89866777       1    1160      -5       0      -4
     1.02340663       1    1161      -4       0      -4
     1.14644474       1    1162      -3       0      -4
     1.23427484       1    1163      -2       0      -4
     1.24854439       1    1164      -1       0      -4
     1.06588956       1    1165       0       1      -4
     0.99285027       1    1166       1       1      -4
     0.89866777       1    1167       2       1      -4
     0.80282621       1    1168       3       1      -4
     0.71532362       1    1169       4       1      -4
     0.63931705       1    1170       5       1      -4
     0.71532362       1    1171      -6       1      -4
     0.80282621       1    1172      -5       1      -4
     0.89866777       1    1173      -4       1      -4
     0.99285027       1    1174      -3       1      -4
     1.06588956       1    1175      -2       1      -4
     1.09406771       1    1176      -1       1      -4
     0.93914233       1    1177       0       2      -4
     0.89866777       1    1178       1       2      -4
     0.83560802       1    1179       2       2      -4
     0.76346528       1    1180       3       2      -4
     0.69194918       1    1181       4       2      -4
     0.62609489       1    1182       5       2      -4
     0.64725919       1    1183      -6       2      -4
     0.71532362       1    1184      -5       2      -4
     0.78781879       1    1185      -4       2      -4
     0.85825732       1    1186      -3       2      -4
     0.91536272       1    1187      -2       2      -4
     0.94538255       1    1188      -1       2      -4
     0.82284989       1    1189       0       3      -4
     0.80282621       1    1190       1       3      -4
     0.76346528       1    1191       2       3      -4
     0.71260891       1    1192       3       3      -4
     0.65761599       1    1193       4       3      -4
     0.60357230       1    1194       5       3      -4
     0.58630137       1    1195      -6       3      -4
     0.63931705       1    1196      -5       3      -4
     0.69443374       1    1197      -4       3      -4
     0.74739053       1    1198      -3       3      -4
     0.79149163       1    1199      -2       3      -4
     0.81872531       1    1200      -1       3      -4
     0.72365777       1    1201       0       4      -4
     0.71532362       1    1202       1       4      -4
     0.69194918       1    1203       2       4      -4
     0.65761599       1    1204       3       4      -4
     0.61713742       1    1205       4       4      -4
     0.57463251       1    1206       5       4      -4
     0.53294478       1    1207      -6       4      -4
     0.57463251       1    1208      -5       4      -4
     0.61713742       1    1209      -4       4      -4
     0.65761599       1    1210      -3       4      -4
     0.69194918       1    1211      -2       4      -4
     0.71532362       1    1212      -1       4      -4
     0.64127515       1    1213       0       5      -4
     0.63931705       1    1214       1       5      -4
     0.62609489       1    1215       2       5      -4
     0.60357230       1    1216       3       5      -4
     0.57463251       1    1217       4       5      -4
     0.54221408       1    1218       5       5      -4
     0.48668168       1    1219      -6       5      -4
     0.51989109       1    1220      -5       5      -4
     0.55324329       1    1221      -4       5      -4
     0.58480379       1    1222      -3       5      -4
     0.61194402       1    1223      -2       5      -4
     0.63166029       1    1224      -1       5      -4
     0.78781879       1    1225       0      -6      -4
     0.71532362       1    1226       1      -6      -4
     0.64725919       1    1227       2      -6      -4
     0.58630137       1    1228       3      -6      -4
     0.53294478       1    1229       4      -6      -4
     0.48668168       1    1230       5      -6      -4
     0.83560802       1    1231      -6      -6      -4
     0.89866777       1    1232      -5      -6      -4
     0.93914233       1    1233      -4      -6      -4
     0.94538255       1    1234      -3      -6      -4
     0.91536272       1    1235      -2      -6      -4
     0.85825732       1    1236      -1      -6      -4
     0.89866777       1    1237       0      -5      -4
     0.80282621       1    1238       1      -5      -4
     0.71532362       1    1239       2      -5      -4
     0.63931705       1    1240       3      -5      -4
     0.57463251       1    1241       4      -5      -4
     0.51989109       1    1242       5      -5      -4
     0.89866777       1    1243      -6      -5      -4
     0.99285027       1    1244      -5      -5      -4
     1.06588956       1    1245      -4      -5      -4
     1.09406771       1    1246      -3      -5      -4
     1.06588956       1    1247      -2      -5      -4
     0.99285027       1    1248      -1      -5      -4
     1.02340663       1    1249       0      -4      -4
     0.89866777       1    1250       1      -4      -4
     0.78781879       1    1251       2      -4      -4
     0.69443374       1    1252       3      -4      -4
     0.61713742       1    1253       4      -4      -4
     0.55324329       1    1254       5      -4      -4
     0.93914233       1    1255      -6      -4      -4
     1.06588956       1    1256      -5      -4      -4
     1.18172819       1    1257      -4      -4      -4
     1.24854439       1    1258      -3      -4      -4
     1.23427484       1    1259      -2      -4      -4
     1.14644474       1    1260      -1      -4      -4
     1.14644474       1    1261       0      -3      -4
     0.99285027       1    1262       1      -3      -4
     0.85825732       1    1263       2      -3      -4
     0.74739053       1    1264       3      -3      -4
     0.65761599       1    1265       4      -3      -4
     0.58480379       1    1266       5      -3      -4
     0.94538255       1    1267      -6      -3      -4
     1.09406771       1    1268      -5      -3      -4
     1.24854439       1    1269      -4      -3      -4
     1.36454218       1    1270      -3      -3      -4
     1.38389835       1    1271      -2      -3      -4
     1.29451837       1    1272      -1      -3      -4
     1.23427484       1    1273       0      -2      -4
     1.06588956       1    1274       1      -2      -4
     0.91536272       1    1275       2      -2      -4
     0.79149163       1    1276       3      -2      -4
     0.69194918       1    1277       4      -2      -4
     0.61194402       1    1278       5      -2      -4
     0.91536272       1    1279      -6      -2      -4
     1.06588956       1    1280      -5      -2      -4
     1.23427484       1    1281      -4      -2      -4
     1.38389835       1    1282      -3      -2      -4
     1.44731554       1    1283      -2      -2      -4
     1.38389835       1    1284      -1      -2      -4
     1.24854439       1    1285       0      -1      -4
     1.09406771       1    1286       1      -1      -4
     0.94538255       1    1287       2      -1      -4
     0.81872531       1    1288       3      -1      -4
     0.71532362       1    1289       4      -1      -4
     0.63166029       1    1290       5      -1      -4
     0.85825732       1    1291      -6      -1      -4
     0.99285027       1    1292      -5      -1      -4
     1.14644474       1    1293      -4      -1      -4
     1.29451837       1    1294      -3      -1      -4
     1.38389835       1    1295      -2      -1      -4
     1.36454218       1    1296      -1      -1      -4
     1.57563759       1    1297       0       0      -3
     1.36454218       1    1298       1       0      -3
     1.14644474       1    1299       2       0      -3
     0.96487703       1    1300       3       0      -3
     0.82284989       1    1301       4       0      -3
     0.71260891       1    1302       5       0      -3
     0.82284989       1    1303      -6       0      -3
     0.96487703       1    1304      -5       0      -3
     1.14644474       1    1305      -4       0      -3
     1.36454218       1    1306      -3       0      -3
     1.57563759       1    1307      -2       0      -3
     1.67121603       1    1308      -1       0      -3
     1.36454218       1    1309       0       1      -3
     1.24854439       1    1310       1       1      -3
     1.09406771       1    1311       2       1      -3
     0.94538255       1    1312       3       1      -3
     0.81872531       1    1313       4       1      -3
     0.71532362       1    1314       5       1      -3
     0.74739053       1    1315      -6       1      -3
     0.85825732       1    1316      -5       1      -3
     0.99285027       1    1317      -4       1      -3
     1.14644474       1    1318      -3       1      -3
     1.29451837       1    1319      -2       1      -3
     1.38389835       1    1320      -1       1      -3
     1.14644474       1    1321       0       2      -3
     1.09406771       1    1322       1       2      -3
     1.00023216       1    1323       2       2      -3
     0.89330254       1    1324       3       2      -3
     0.79149163       1    1325       4       2      -3
     0.70205116       1    1326       5       2      -3
     0.67527325       1    1327      -6       2      -3
     0.76016736       1    1328      -5       2      -3
     0.85825732       1    1329      -4       2      -3
     0.96487703       1    1330      -3       2      -3
     1.06588956       1    1331      -2       2      -3
     1.13536772       1    1332      -1       2      -3
     0.96487703       1    1333       0       3      -3
     0.94538255       1    1334       1       3      -3
     0.89330254       1    1335       2       3      -3
     0.82284989       1    1336       3       3      -3
     0.74739053       1    1337       4       3      -3
     0.67527325       1    1338       5       3      -3
     0.61024181       1    1339      -6       3      -3
     0.67527325       1    1340      -5       3      -3
     0.74739053       1    1341      -4       3      -3
     0.82284989       1    1342      -3       3      -3
     0.89330254       1    1343      -2       3      -3
     0.94538255       1    1344      -1       3      -3
     0.82284989       1    1345       0       4      -3
     0.81872531       1    1346       1       4      -3
     0.79149163       1    1347       2       4      -3
     0.74739053       1    1348       3       4      -3
     0.69443374       1    1349       4       4      -3
     0.63931705       1    1350       5       4      -3
     0.55324329       1    1351      -6       4      -3
     0.60357230       1    1352      -5       4      -3
     0.65761599       1    1353      -4       4      -3
     0.71260891       1    1354      -3       4      -3
     0.76346528       1    1355      -2       4      -3
     0.80282621       1    1356      -1       4      -3
     0.71260891       1    1357       0       5      -3
     0.71532362       1    1358       1       5      -3
     0.70205116       1    1359       2       5      -3
     0.67527325       1    1360       3       5      -3
     0.63931705       1    1361       4       5      -3
     0.59871124       1    1362       5       5      -3
     0.50389059       1    1363      -6       5      -3
     0.54340707       1    1364      -5       5      -3
     0.58480379       1    1365      -4       5      -3
     0.62609489       1    1366      -3       5      -3
     0.66407391       1    1367      -2       5      -3
     0.69443374       1    1368      -1       5      -3
     0.82284989       1    1369       0      -6      -3
     0.74739053       1    1370       1      -6      -3
     0.67527325       1    1371       2      -6      -3
     0.61024181       1    1372       3      -6      -3
     0.55324329       1    1373       4      -6      -3
     0.50389059       1    1374       5      -6      -3
     0.82284989       1    1375      -6      -6      -3
     0.89330254       1    1376      -5      -6      -3
     0.94538255       1    1377      -4      -6      -3
     0.96487703       1    1378      -3      -6      -3
     0.94538255       1    1379      -2      -6      -3
     0.89330254       1    1380      -1      -6      -3
     0.96487703       1    1381       0      -5      -3
     0.85825732       1    1382       1      -5      -3
     0.76016736       1    1383       2      -5      -3
     0.67527325       1    1384       3      -5      -3
     0.60357230       1    1385       4      -5      -3
     0.54340707       1    1386       5      -5      -3
     0.89330254       1    1387      -6      -5      -3
     1.00023216       1    1388      -5      -5      -3
     1.09406771       1    1389      -4      -5      -3
     1.14644474       1    1390      -3      -5      -3
     1.13536772       1    1391      -2      -5      -3
     1.06588956       1    1392      -1      -5      -3
     1.14644474       1    1393       0      -4      -3
     0.99285027       1    1394       1      -4      -3
     0.85825732       1    1395       2      -4      -3
     0.74739053       1    1396       3      -4      -3
     0.65761599       1    1397       4      -4      -3
     0.58480379       1    1398       5      -4      -3
     0.94538255       1    1399      -6      -4      -3
     1.09406771       1    1400      -5      -4      -3
     1.24854439       1    1401      -4      -4      -3
     1.36454218       1    1402      -3      -4      -3
     1.38389835       1    1403      -2      -4      -3
     1.29451837       1    1404      -1      -4      -3
     1.36454218       1    1405       0      -3      -3
     1.14644474       1    1406       1      -3      -3
     0.96487703       1    1407       2      -3      -3
     0.82284989       1    1408       3      -3      -3
     0.71260891       1    1409       4      -3      -3
     0.62609489       1    1410       5      -3      -3
     0.96487703       1    1411      -6      -3      -3
     1.14644474       1    1412      -5      -3      -3
     1.36454218       1    1413      -4      -3      -3
     1.57563759       1    1414      -3      -3      -3
     1.67121603       1    1415      -2      -3      -3
     1.57563759       1    1416      -1      -3      -3
     1.57563759       1    1417       0      -2      -3
     1.29451837       1    1418       1      -2      -3
     1.06588956       1    1419       2      -2      -3
     0.89330254       1    1420       3      -2      -3
     0.76346528       1    1421       4      -2      -3
     0.66407391       1    1422       5      -2      -3
     0.94538255       1    1423      -6      -2      -3
     1.13536772       1    1424      -5      -2      -3
     1.38389835       1    1425      -4      -2      -3
     1.67121603       1    1426      -3      -2      -3
     1.87828467       1    1427      -2      -2      -3
     1.83072544       1    1428      -1      -2      -3
     1.67121603       1    1429       0      -1      -3
     1.38389835       1    1430       1      -1      -3
     1.13536772       1    1431       2      -1      -3
     0.94538255       1    1432       3      -1      -3
     0.80282621       1    1433       4      -1      -3
     0.69443374       1    1434       5      -1      -3
     0.89330254       1    1435      -6      -1      -3
     1.06588956       1    1436      -5      -1      -3
     1.29451837       1    1437      -4      -1      -3
     1.57563759       1    1438      -3      -1      -3
     1.83072544       1    1439      -2      -1      -3
     1.87828467       1    1440      -1      -1      -3
     2.36345638       1    1441       0       0      -2
     1.87828467       1    1442       1       0      -2
     1.44731554       1    1443       2       0      -2
     1.14644474       1    1444       3       0      -2
     0.93914233       1    1445       4       0      -2
     0.79149163       1    1446       5       0      -2
     0.83560802       1    1447      -6       0      -2
     1.00023216       1    1448      -5       0      -2
     1.23427484       1    1449      -4       0      -2
     1.57563759       1    1450      -3       0      -2
     2.04681326       1    1451      -2       0      -2
     2.46854968       1    1452      -1       0      -2
     1.87828467       1    1453       0       1      -2
     1.67121603       1    1454       1       1      -2
     1.38389835       1    1455       2       1      -2
     1.13536772       1    1456       3       1      -2
     0.94538255       1    1457       4       1      -2
     0.80282621       1    1458       5       1      -2
     0.76346528       1    1459      -6       1      -2
     0.89330254       1    1460      -5       1      -2
     1.06588956       1    1461      -4       1      -2
     1.29451837       1    1462      -3       1      -2
     1.57563759       1    1463      -2       1      -2
     1.83072544       1    1464      -1       1      -2
     1.44731554       1    1465       0       2      -2
     1.38389835       1    1466       1       2      -2
     1.23427484       1    1467       2       2      -2
     1.06588956       1    1468       3       2      -2
     0.91536272       1    1469       4       2      -2
     0.79149163       1    1470       5       2      -2
     0.69194918       1    1471      -6       2      -2
     0.79149163       1    1472      -5       2      -2
     0.91536272       1    1473      -4       2      -2
     1.06588956       1    1474      -3       2      -2
     1.23427484       1    1475      -2       2      -2
     1.38389835       1    1476      -1       2      -2
     1.14644474       1    1477       0       3      -2
     1.13536772       1    1478       1       3      -2
     1.06588956       1    1479       2       3      -2
     0.96487703       1    1480       3       3      -2
     0.85825732       1    1481       4       3      -2
     0.76016736       1    1482       5       3      -2
     0.62609489       1    1483      -6       3      -2
     0.70205116       1    1484      -5       3      -2
     0.79149163       1    1485      -4       3      -2
     0.89330254       1    1486      -3       3      -2
     1.00023216       1    1487      -2       3      -2
     1.09406771       1    1488      -1       3      -2
     0.93914233       1    1489       0       4      -2
     0.94538255       1    1490       1       4      -2
     0.91536272       1    1491       2       4      -2
     0.85825732       1    1492       3       4      -2
     0.78781879       1    1493       4       4      -2
     0.71532362       1    1494       5       4      -2
     0.56768386       1    1495      -6       4      -2
     0.62609489       1    1496      -5       4      -2
     0.69194918       1    1497      -4       4      -2
     0.76346528       1    1498      -3       4      -2
     0.83560802       1    1499      -2       4      -2
     0.89866777       1    1500      -1       4      -2
     0.79149163       1    1501       0       5      -2
     0.80282621       1    1502       1       5      -2
     0.79149163       1    1503       2       5      -2
     0.76016736       1    1504       3       5      -2
